SAMPLENUM,STATION,SAMPLETYPE,QA_LINK,SPLIT,SPLITFACTOR,ANALYST,ANALYSTDATE,SCOPE_USED,POWER_USED,COMBO,SPECCODE,SUBGROUP,GROUP,LENGTH,SEX,ORGANISMCOUNT,COMMENT,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.382,M,1,,,,Sum of ORGANISMCOUNT,Column Labels,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.933,M,1,,,,Row Labels,A,B,C,D,(blank),Grand Total
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.987,M,1,,,,Cyclops copepodites,43,42,,,,85
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.069,F,1,,,,Daphnia galeata mendotae,0,0,4,,,4
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.773,M,1,,,,Diacyclops thomasi,41,45,,,,86
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.953,M,1,,,,Diaptomus copepodites,22,22,,,,44
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.967,M,1,,,,Leptodiaptomus ashlandi,76,93,,,,169
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.909,M,1,,,,Leptodiaptomus minutus,67,74,,,,141
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.965,M,1,,,,Leptodiaptomus sicilis,61,55,,,,116
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.638,F,1,,,,Limnocalanus copepodites,4,3,0,,,7
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,1.035,M,1,,,,Limnocalanus macrurus,0,4,6,1,,11
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.947,M,1,,,,Senecella calanoides,1,0,0,3,,4
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.723,NA,1,,,,Senecella copepodites,0,1,1,,,2
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.529,NA,1,,,,Skistodiaptomus oregonensis,3,12,9,,,24
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.655,NA,1,,,,Tropocyclops prasinus mexicanus,1,1,0,,,2
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.139,F,1,,,,(blank),,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.929,F,1,,,,Grand Total,319,352,20,4,,695
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.991,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.296,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.981,F,1,,,,Before,Calibration,1.005,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.382,M,1,,,,,Calibration,0.996,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,1.111,F,1,,,,After,Calibration,1.001,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.425,F,1,,,,,Calibration,1.001,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.972,M,1,,,,Checked,Yes,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.985,M,1,,,,Protocol,"Rev 7, July 2016",,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.857,M,1,,,,Comment:,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.5,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.928,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.882,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.49,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.945,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.932,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Skistodiaptomus oregonensis,SKIOREG,CAL,COP,1.302,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.565,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.868,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.001,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.887,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.968,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,NA,F,1,Crushed,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.904,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.954,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.842,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.899,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,1.002,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.534,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.93,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.943,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.574,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.021,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.949,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.904,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.934,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.16,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,NA,F,1,Damaged,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.944,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Limnocalanus copepodites,LIMCOPE,CALIMM,IMM,0.643,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.314,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.891,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.652,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/5/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.979,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.845,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.487,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.586,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.78,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.869,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.788,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.311,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Limnocalanus copepodites,LIMCOPE,CALIMM,IMM,0.664,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.293,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.988,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.997,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.621,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.595,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.902,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.989,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.175,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,NA,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.043,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.487,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,1.097,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.145,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,NA,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.264,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.886,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.882,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.989,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,NA,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.898,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.338,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,1.003,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.944,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.546,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.653,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.97,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,NA,M,1,Damaged ,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.721,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.937,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.048,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.539,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,NA,F,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,NA,M,1,Damaged ,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.85,NA,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,NA,F,1,Damaged ,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.995,M,1,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,NA,M,2,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,NA,F,4,,,,,,,,,,
24GH00I73,HU 15M,D100,-1,A,64,LEW,9/9/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,NA,M,3,,,,,,,,,,
